[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 60/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 61/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 62/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 63/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 64/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 65/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 66/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 67/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 68/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 69/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 70/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 71/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 72/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 73/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 74/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 75/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 76/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 77/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 78/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 79/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 80/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 81/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 82/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 83/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 84/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 85/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 86/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 87/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 88/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 89/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 90/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 91/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 92/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 93/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 94/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 95/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 96/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 97/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 98/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 99/125
