[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131926_8136953a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131926_42b33858 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131936_17145c09 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131936_c1ffe33e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132011_29448dd8 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132011_4fc617ae already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132022_149f8123 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132022_3bca86c8 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132022_71722332 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132028_557969a9 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132028_049d4c9a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132033_45e215e7 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132038_7d8727dd already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132042_fe69ee74 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132042_b09bb425 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132046_c982705f already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132046_4b5ba6d1 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132046_3565591e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132051_5f64f517 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132051_562880ae already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132051_066a807e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132053_921c9700 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132053_d832b79b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132053_36af6a7a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132057_e9412e42 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132057_52f600f2 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132057_6706fcba already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132057_02debbb6 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132109_7adf1bac already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132109_4f53d043 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132115_66b51961 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132115_fe949af9 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132119_88f82fac already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132119_ea35d288 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132125_72ffb6f7 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132125_72f961fb already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132132_4eb94daa already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132132_b769dbfd already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_132141_7670bd3c already in index.json
