Pergeseran ke,Periode,Nilai,Tanggal
51,3M,"Rp1,457.54",18 Nov 24
51,1M,"Rp1,466.78",2 Jan 25
51,3Y,"Rp1,321.02",10 Nov 22
51,YTD,"Rp1,467.76",6 Jan 25
54,5Y,"Rp1,268.85",22 Jun 21
52,ALL,"Rp1,137.01",21 Mei 19
52,3M,"Rp1,457.54",18 Nov 24
52,1M,"Rp1,466.78",2 Jan 25
52,3Y,"Rp1,322.08",17 Nov 22
52,YTD,"Rp1,467.76",6 Jan 25
55,5Y,"Rp1,269.93",2 Jul 21
53,3M,"Rp1,457.88",20 Nov 24
53,ALL,"Rp1,140.50",10 Jun 19
53,1M,"Rp1,466.78",2 Jan 25
53,3Y,"Rp1,323.00",23 Nov 22
53,YTD,"Rp1,467.76",6 Jan 25
56,5Y,"Rp1,271.15",13 Jul 21
54,3M,"Rp1,457.88",20 Nov 24
54,ALL,"Rp1,143.22",24 Jun 19
54,1M,"Rp1,466.78",2 Jan 25
54,3Y,"Rp1,323.89",29 Nov 22
54,YTD,"Rp1,468.03",7 Jan 25
57,5Y,"Rp1,272.16",23 Jul 21
55,ALL,"Rp1,146.12",9 Jul 19
55,3M,"Rp1,457.88",20 Nov 24
55,1M,"Rp1,466.78",2 Jan 25
55,3Y,"Rp1,325.14",5 Des 22
55,YTD,"Rp1,468.03",7 Jan 25
58,5Y,"Rp1,273.24",3 Agt 21
56,3M,"Rp1,457.88",20 Nov 24
56,ALL,"Rp1,149.50",26 Jul 19
56,1M,"Rp1,467.08",3 Jan 25
56,3Y,"Rp1,326.25",12 Des 22
56,YTD,"Rp1,468.03",7 Jan 25
59,5Y,"Rp1,274.21",13 Agt 21
57,3M,"Rp1,458.29",21 Nov 24
57,ALL,"Rp1,152.79",12 Agt 19
57,1M,"Rp1,467.08",3 Jan 25
57,3Y,"Rp1,327.30",19 Des 22
57,YTD,"Rp1,468.03",7 Jan 25
60,5Y,"Rp1,275.30",24 Agt 21
58,ALL,"Rp1,155.78",27 Agt 19
58,3M,"Rp1,458.49",22 Nov 24
58,1M,"Rp1,467.08",3 Jan 25
58,3Y,"Rp1,328.40",26 Des 22
58,YTD,"Rp1,468.03",7 Jan 25
