Date,Open,High,Low,Close,Adj Close,Volume
2024-10-03,939.31,941.72,931.31,937.39,937.39,"6,060,100,000"
2024-10-02,944.97,950.95,933.22,938.70,938.70,"7,791,300,000"
2024-10-01,943.58,953.36,941.67,953.36,953.36,"4,058,800,000"
2024-09-30,955.47,956.27,938.92,938.92,938.92,"8,286,100,000"
2024-09-27,964.34,967.46,956.19,959.94,959.94,"8,712,200,000"
2024-09-26,973.59,975.08,963.75,970.55,970.55,"9,038,100,000"
2024-09-25,979.45,980.72,958.70,977.15,977.15,"14,278,200,000"
2024-09-24,984.91,988.27,983.06,985.41,985.41,"5,485,800,000"
2024-09-23,973.10,985.26,972.10,985.26,985.26,"7,250,000,000"
2024-09-20,979.44,981.16,971.36,973.20,973.20,"14,750,700,000"
2024-09-19,975.90,981.91,973.55,979.68,979.68,"11,146,500,000"
2024-09-18,969.69,973.61,966.12,970.25,970.25,"10,810,200,000"
2024-09-17,963.38,968.13,961.13,966.92,966.92,"9,183,000,000"
2024-09-13,960.09,961.30,953.55,959.36,959.36,"5,777,700,000"
2024-09-12,955.86,963.66,955.86,958.48,958.48,"13,077,200,000"
2024-09-11,953.72,955.73,948.45,951.63,951.63,"4,230,500,000"
2024-09-10,952.34,952.87,945.82,951.84,951.84,"9,128,000,000"
2024-09-09,951.73,953.67,942.68,947.70,947.70,"2,880,400,000"
2024-09-06,944.54,953.23,943.61,950.19,950.19,"2,291,000,000"
2024-09-05,943.08,947.67,939.42,943.78,943.78,"2,124,500,000"
2024-09-04,934.42,944.64,931.62,941.69,941.69,"2,429,500,000"
2024-09-03,952.85,955.25,940.34,942.28,942.28,"2,494,000,000"
2024-09-02,947.58,955.62,946.22,950.37,950.37,"2,640,800,000"
2024-08-30,945.28,947.74,938.27,944.48,944.48,"7,175,200,000"
2024-08-29,952.74,953.60,942.13,942.13,942.13,"3,257,400,000"
2024-08-28,947.86,951.11,939.77,948.65,948.65,"3,337,500,000"
2024-08-27,948.48,950.27,939.76,946.51,946.51,"3,019,700,000"
2024-08-26,944.18,953.56,943.75,950.06,950.06,"3,075,100,000"
2024-08-23,938.73,946.98,937.76,943.22,943.22,"2,541,600,000"
2024-08-22,937.79,940.98,928.58,934.36,934.36,"3,136,400,000"
2024-08-21,944.94,948.76,940.80,942.37,942.37,"4,965,300,000"
2024-08-20,932.72,940.10,929.88,939.14,939.14,"4,694,100,000"
2024-08-19,924.68,928.17,920.69,928.17,928.17,"2,647,800,000"
2024-08-16,926.64,928.39,922.65,925.27,925.27,"2,601,800,000"
2024-08-15,924.01,925.44,914.49,919.52,919.52,"3,044,400,000"
2024-08-14,916.48,925.32,913.64,922.64,922.64,"4,925,600,000"
2024-08-13,911.95,914.90,906.12,912.51,912.51,"3,042,800,000"
2024-08-12,909.26,909.98,902.60,908.20,908.20,"5,932,200,000"
2024-08-09,904.11,912.11,904.09,908.13,908.13,"2,947,300,000"
2024-08-08,903.94,906.70,897.65,898.90,898.90,"3,132,200,000"
2024-08-07,903.09,906.90,898.93,903.79,903.79,"3,015,700,000"
2024-08-06,898.36,905.33,891.56,899.18,899.18,"3,091,800,000"
2024-08-05,908.71,909.57,881.99,890.71,890.71,"8,594,800,000"
2024-08-02,921.15,925.16,914.44,919.37,919.37,"3,916,700,000"
2024-08-01,917.47,926.03,915.48,925.51,925.51,"3,158,900,000"
2024-07-31,913.17,916.99,910.80,913.71,913.71,"5,022,700,000"
2024-07-30,919.88,920.54,908.98,910.76,910.76,"2,981,400,000"
2024-07-29,923.65,927.50,918.00,920.60,920.60,"3,130,700,000"
2024-07-26,920.55,924.16,918.81,920.39,920.39,"2,372,700,000"
2024-07-25,917.75,918.31,908.84,916.16,916.16,"2,787,000,000"
2024-07-24,920.15,923.48,915.04,917.17,917.17,"4,094,800,000"
2024-07-23,926.34,927.17,919.59,923.26,923.26,"14,066,900,000"
2024-07-22,923.97,925.53,920.08,923.25,923.25,"3,219,900,000"
2024-07-19,919.31,920.21,912.32,919.53,919.53,"3,398,000,000"
2024-07-18,911.56,923.69,910.60,922.78,922.78,"4,078,700,000"
2024-07-17,911.93,913.09,905.66,910.07,910.07,"10,941,000,000"
2024-07-16,914.72,915.85,903.16,904.55,904.55,"1,587,100,000"
2024-07-15,922.07,922.58,908.44,912.58,912.58,"1,736,300,000"
2024-07-12,922.25,925.62,917.61,920.38,920.38,"2,047,400,000"
2024-07-11,915.15,919.23,912.18,915.36,915.36,"3,041,300,000"
