[2025-04-09 20:02:09] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-09 20:02:09] [INFO] Mulai scraping untuk ABF Indonesia Bond Index Fund (Total 2 periode)
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Beralih ke mode AUM...
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 1M.
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 3M.
[2025-04-09 20:02:35] [DEBUG] AUM | Periode 1M | Kursor 330 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:35] [INFO] Scraping 1M (Default) selesai, total data: 51
[2025-04-09 20:02:35] [DEBUG] Default | Periode 3M | Kursor 490 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:35] [INFO] Scraping 3M (Default) selesai, total data: 51
[2025-04-09 20:02:35] [DEBUG] AUM | Periode 1M | Kursor 350 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:35] [DEBUG] AUM | Periode 1M | Kursor 370 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:36] [DEBUG] AUM | Periode 1M | Kursor 390 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:36] [DEBUG] AUM | Periode 1M | Kursor 410 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:37] [DEBUG] AUM | Periode 1M | Kursor 430 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:37] [INFO] Scraping 1M (Default) selesai dalam 27.44 detik.
[2025-04-09 20:02:37] [INFO] Memulai scraping 3M (AUM) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:37] [INFO] Scraping ABF Indonesia Bond Index Fund untuk 1M (Default) selesai.
[2025-04-09 20:02:37] [INFO] Scraping 3M (Default) selesai dalam 27.66 detik.
[2025-04-09 20:02:37] [INFO] Scraping ABF Indonesia Bond Index Fund untuk 3M (Default) selesai.
[2025-04-09 20:02:37] [DEBUG] AUM | Periode 1M | Kursor 450 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:37] [DEBUG] AUM | Periode 1M | Kursor 470 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:38] [DEBUG] AUM | Periode 1M | Kursor 490 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:38] [INFO] Scraping 1M (AUM) selesai, total data: 51
[2025-04-09 20:02:39] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:39] [INFO] Beralih ke mode AUM...
[2025-04-09 20:02:40] [INFO] Scraping 1M (AUM) selesai dalam 30.54 detik.
[2025-04-09 20:02:40] [INFO] Scraping ABF Indonesia Bond Index Fund untuk 1M (AUM) selesai.
[2025-04-09 20:02:43] [INFO] Berhasil memilih periode 3M.
[2025-04-09 20:02:45] [DEBUG] AUM | Periode 3M | Kursor -510 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:45] [DEBUG] AUM | Periode 3M | Kursor -490 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:46] [DEBUG] AUM | Periode 3M | Kursor -470 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:46] [DEBUG] AUM | Periode 3M | Kursor -450 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:47] [DEBUG] AUM | Periode 3M | Kursor -430 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:47] [DEBUG] AUM | Periode 3M | Kursor -410 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:47] [DEBUG] AUM | Periode 3M | Kursor -390 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:48] [DEBUG] AUM | Periode 3M | Kursor -370 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:48] [DEBUG] AUM | Periode 3M | Kursor -350 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:48] [DEBUG] AUM | Periode 3M | Kursor -330 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:49] [DEBUG] AUM | Periode 3M | Kursor -310 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:49] [DEBUG] AUM | Periode 3M | Kursor -290 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:50] [DEBUG] AUM | Periode 3M | Kursor -270 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:50] [DEBUG] AUM | Periode 3M | Kursor -250 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:50] [DEBUG] AUM | Periode 3M | Kursor -230 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:51] [DEBUG] AUM | Periode 3M | Kursor -210 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:51] [DEBUG] AUM | Periode 3M | Kursor -190 | Tanggal: 1 Jan 25 | Data: Rp6.50T
[2025-04-09 20:02:52] [DEBUG] AUM | Periode 3M | Kursor -170 | Tanggal: 1 Jan 25 | Data: Rp6.50T
