[2025-04-08 21:14:03] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:14:03] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 3M.
[2025-04-08 21:14:08] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Beralih ke mode AUM...
[2025-04-08 21:14:26] [DEBUG] AUM | Periode 1M | Kursor 90 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:26] [DEBUG] Default | Periode 3M | Kursor 270 | Tanggal: 7 Mar 25 | Data: $1.05
[2025-04-08 21:14:26] [DEBUG] Default | Periode 1M | Kursor 270 | Tanggal: 21 Mar 25 | Data: $1.04
[2025-04-08 21:14:27] [DEBUG] AUM | Periode 1M | Kursor 110 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:27] [DEBUG] Default | Periode 3M | Kursor 290 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:14:27] [DEBUG] Default | Periode 1M | Kursor 290 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:27] [DEBUG] AUM | Periode 1M | Kursor 130 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:27] [DEBUG] Default | Periode 3M | Kursor 310 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-08 21:14:27] [DEBUG] Default | Periode 1M | Kursor 310 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:27] [DEBUG] AUM | Periode 1M | Kursor 150 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:28] [DEBUG] Default | Periode 3M | Kursor 330 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-08 21:14:28] [DEBUG] Default | Periode 1M | Kursor 330 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:28] [DEBUG] AUM | Periode 1M | Kursor 170 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:28] [DEBUG] Default | Periode 3M | Kursor 350 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:14:28] [DEBUG] Default | Periode 1M | Kursor 350 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:28] [DEBUG] AUM | Periode 1M | Kursor 190 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:29] [DEBUG] Default | Periode 3M | Kursor 370 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:14:29] [DEBUG] Default | Periode 1M | Kursor 370 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:29] [DEBUG] AUM | Periode 1M | Kursor 210 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:29] [DEBUG] Default | Periode 3M | Kursor 390 | Tanggal: 18 Mar 25 | Data: $1.03
[2025-04-08 21:14:29] [DEBUG] Default | Periode 1M | Kursor 390 | Tanggal: 25 Mar 25 | Data: $1.07
[2025-04-08 21:14:29] [DEBUG] AUM | Periode 1M | Kursor 230 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:29] [DEBUG] Default | Periode 3M | Kursor 410 | Tanggal: 20 Mar 25 | Data: $1.04
[2025-04-08 21:14:29] [DEBUG] Default | Periode 1M | Kursor 410 | Tanggal: 25 Mar 25 | Data: $1.07
[2025-04-08 21:14:29] [DEBUG] AUM | Periode 1M | Kursor 250 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:30] [DEBUG] Default | Periode 3M | Kursor 430 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:30] [DEBUG] Default | Periode 1M | Kursor 430 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-08 21:14:30] [DEBUG] AUM | Periode 1M | Kursor 270 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:30] [DEBUG] Default | Periode 3M | Kursor 450 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:14:30] [DEBUG] Default | Periode 1M | Kursor 450 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-08 21:14:30] [DEBUG] AUM | Periode 1M | Kursor 290 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:31] [DEBUG] Default | Periode 3M | Kursor 470 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-08 21:14:31] [DEBUG] Default | Periode 1M | Kursor 470 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:31] [DEBUG] AUM | Periode 1M | Kursor 310 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:31] [DEBUG] Default | Periode 3M | Kursor 490 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:31] [INFO] Scraping 3M (Default) selesai, total data: 51
[2025-04-08 21:14:31] [DEBUG] Default | Periode 1M | Kursor 490 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-08 21:14:31] [INFO] Scraping 1M (Default) selesai, total data: 51
[2025-04-08 21:14:31] [DEBUG] AUM | Periode 1M | Kursor 330 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:32] [DEBUG] AUM | Periode 1M | Kursor 350 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:32] [DEBUG] AUM | Periode 1M | Kursor 370 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:32] [DEBUG] AUM | Periode 1M | Kursor 390 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:33] [DEBUG] AUM | Periode 1M | Kursor 410 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:33] [DEBUG] AUM | Periode 1M | Kursor 430 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:33] [INFO] Scraping 3M (Default) selesai dalam 30.07 detik.
[2025-04-08 21:14:33] [INFO] Memulai scraping 3M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:33] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 3M (Default) selesai.
[2025-04-08 21:14:33] [INFO] Scraping 1M (Default) selesai dalam 30.13 detik.
[2025-04-08 21:14:33] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (Default) selesai.
[2025-04-08 21:14:34] [DEBUG] AUM | Periode 1M | Kursor 450 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:34] [DEBUG] AUM | Periode 1M | Kursor 470 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:34] [DEBUG] AUM | Periode 1M | Kursor 490 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:34] [INFO] Scraping 1M (AUM) selesai, total data: 51
[2025-04-08 21:14:37] [INFO] Scraping 1M (AUM) selesai dalam 33.45 detik.
[2025-04-08 21:14:37] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-04-08 21:14:37] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:37] [INFO] Beralih ke mode AUM...
[2025-04-08 21:14:40] [INFO] Berhasil memilih periode 3M.
[2025-04-08 21:14:42] [DEBUG] AUM | Periode 3M | Kursor -510 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:43] [DEBUG] AUM | Periode 3M | Kursor -490 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:43] [DEBUG] AUM | Periode 3M | Kursor -470 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:44] [DEBUG] AUM | Periode 3M | Kursor -450 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:44] [DEBUG] AUM | Periode 3M | Kursor -430 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:44] [DEBUG] AUM | Periode 3M | Kursor -410 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:45] [DEBUG] AUM | Periode 3M | Kursor -390 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:45] [DEBUG] AUM | Periode 3M | Kursor -370 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:46] [DEBUG] AUM | Periode 3M | Kursor -350 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:46] [DEBUG] AUM | Periode 3M | Kursor -330 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:47] [DEBUG] AUM | Periode 3M | Kursor -310 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:47] [DEBUG] AUM | Periode 3M | Kursor -290 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:47] [DEBUG] AUM | Periode 3M | Kursor -270 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:48] [DEBUG] AUM | Periode 3M | Kursor -250 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:48] [DEBUG] AUM | Periode 3M | Kursor -230 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:49] [DEBUG] AUM | Periode 3M | Kursor -210 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:49] [DEBUG] AUM | Periode 3M | Kursor -190 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:49] [DEBUG] AUM | Periode 3M | Kursor -170 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-04-08 21:14:50] [DEBUG] AUM | Periode 3M | Kursor -150 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-04-08 21:14:50] [DEBUG] AUM | Periode 3M | Kursor -130 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-04-08 21:14:51] [DEBUG] AUM | Periode 3M | Kursor -110 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-04-08 21:14:51] [DEBUG] AUM | Periode 3M | Kursor -90 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-04-08 21:14:51] [DEBUG] AUM | Periode 3M | Kursor -70 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-04-08 21:14:52] [DEBUG] AUM | Periode 3M | Kursor -50 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-04-08 21:14:52] [DEBUG] AUM | Periode 3M | Kursor -30 | Tanggal: 1 Jan 25 | Data: $83.52M
