[2025-04-08 21:18:47] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:18:47] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:50] [INFO] Beralih ke mode AUM...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:51] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:19:04] [DEBUG] AUM | Periode 1M | Kursor -90 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:05] [DEBUG] Default | Periode 1M | Kursor 50 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:19:05] [DEBUG] AUM | Periode 1M | Kursor -70 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:05] [DEBUG] Default | Periode 1M | Kursor 70 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:19:05] [DEBUG] AUM | Periode 1M | Kursor -50 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:05] [DEBUG] Default | Periode 1M | Kursor 90 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:19:06] [DEBUG] AUM | Periode 1M | Kursor -30 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:06] [DEBUG] Default | Periode 1M | Kursor 110 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:19:06] [DEBUG] AUM | Periode 1M | Kursor -10 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:06] [DEBUG] Default | Periode 1M | Kursor 130 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:19:06] [DEBUG] AUM | Periode 1M | Kursor 10 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:07] [DEBUG] Default | Periode 1M | Kursor 150 | Tanggal: 18 Mar 25 | Data: $1.03
[2025-04-08 21:19:07] [DEBUG] AUM | Periode 1M | Kursor 30 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:07] [DEBUG] Default | Periode 1M | Kursor 170 | Tanggal: 18 Mar 25 | Data: $1.03
[2025-04-08 21:19:07] [DEBUG] AUM | Periode 1M | Kursor 50 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:07] [DEBUG] Default | Periode 1M | Kursor 190 | Tanggal: 19 Mar 25 | Data: $1.04
[2025-04-08 21:19:08] [DEBUG] AUM | Periode 1M | Kursor 70 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:08] [DEBUG] Default | Periode 1M | Kursor 210 | Tanggal: 19 Mar 25 | Data: $1.04
[2025-04-08 21:19:08] [DEBUG] AUM | Periode 1M | Kursor 90 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:08] [DEBUG] Default | Periode 1M | Kursor 230 | Tanggal: 20 Mar 25 | Data: $1.04
[2025-04-08 21:19:08] [DEBUG] AUM | Periode 1M | Kursor 110 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:09] [DEBUG] Default | Periode 1M | Kursor 250 | Tanggal: 21 Mar 25 | Data: $1.04
[2025-04-08 21:19:09] [DEBUG] AUM | Periode 1M | Kursor 130 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:09] [DEBUG] Default | Periode 1M | Kursor 270 | Tanggal: 21 Mar 25 | Data: $1.04
[2025-04-08 21:19:09] [DEBUG] AUM | Periode 1M | Kursor 150 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:09] [DEBUG] Default | Periode 1M | Kursor 290 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:19:10] [DEBUG] AUM | Periode 1M | Kursor 170 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:10] [DEBUG] Default | Periode 1M | Kursor 310 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:19:10] [DEBUG] AUM | Periode 1M | Kursor 190 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:10] [DEBUG] Default | Periode 1M | Kursor 330 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:19:10] [DEBUG] AUM | Periode 1M | Kursor 210 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:11] [DEBUG] Default | Periode 1M | Kursor 350 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:19:11] [DEBUG] AUM | Periode 1M | Kursor 230 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:11] [DEBUG] Default | Periode 1M | Kursor 370 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-08 21:19:11] [DEBUG] AUM | Periode 1M | Kursor 250 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:11] [DEBUG] Default | Periode 1M | Kursor 390 | Tanggal: 25 Mar 25 | Data: $1.07
[2025-04-08 21:19:12] [DEBUG] AUM | Periode 1M | Kursor 270 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:12] [DEBUG] Default | Periode 1M | Kursor 410 | Tanggal: 25 Mar 25 | Data: $1.07
[2025-04-08 21:19:12] [DEBUG] AUM | Periode 1M | Kursor 290 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:12] [DEBUG] Default | Periode 1M | Kursor 430 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-08 21:19:12] [DEBUG] AUM | Periode 1M | Kursor 310 | Tanggal: 1 Feb 25 | Data: $142.06M
