Date,Open,High,Low,Close,Adj Close,Volume
1997-09-25,555.27,560.97,554.91,559.22,559.20,"3,224,100"
1997-09-26,558.79,558.79,548.04,549.92,549.90,"2,397,400"
1997-09-29,549.95,549.95,542.59,546.24,546.22,"1,852,300"
1997-09-30,547.40,553.40,543.66,546.69,546.67,"2,349,400"
1997-10-01,546.22,546.22,535.22,536.99,536.97,"3,182,500"
1997-10-02,536.99,536.99,530.73,536.92,536.90,"2,039,800"
1997-10-03,535.49,535.49,506.75,515.48,515.46,"4,341,700"
1997-10-06,515.19,515.19,492.47,512.89,512.87,"3,684,000"
1997-10-07,514.19,523.89,512.17,513.95,513.93,"3,133,800"
1997-10-08,515.20,518.94,511.25,518.94,518.92,"3,273,400"
1997-10-09,520.92,526.58,520.31,521.11,521.09,"6,054,500"
1997-10-10,522.53,534.75,522.53,534.75,534.73,"5,484,300"
1997-10-13,533.94,535.85,528.71,534.83,534.81,"3,798,200"
1997-10-14,534.99,536.54,524.94,528.92,528.90,"3,816,000"
1997-10-15,529.10,529.38,515.46,518.91,518.89,"2,530,000"
1997-10-16,518.11,518.11,511.83,517.09,517.07,"3,270,200"
1997-10-17,517.09,522.14,514.00,520.68,520.66,"2,958,200"
1997-10-20,520.68,520.68,510.38,514.17,514.15,"2,295,400"
1997-10-21,514.61,518.83,512.35,514.97,514.95,"3,231,300"
1997-10-22,514.81,514.81,503.47,505.23,505.21,"2,731,700"
1997-10-23,505.23,505.23,490.74,494.14,494.12,"6,883,800"
1997-10-24,493.99,493.99,486.77,490.40,490.38,"2,510,600"
1997-10-27,490.54,493.94,487.63,490.12,490.10,"2,660,100"
1997-10-28,487.94,487.94,444.30,448.00,447.98,"4,050,400"
1997-10-29,453.80,472.60,453.80,472.05,472.03,"3,881,200"
1997-10-30,472.13,502.87,467.33,502.87,502.85,"5,377,200"
1997-10-31,502.69,511.67,488.72,500.42,500.40,"7,863,400"
1997-11-03,500.80,514.72,498.24,501.71,501.69,"4,958,200"
1997-11-04,502.67,506.03,492.58,494.85,494.83,"3,427,600"
1997-11-05,494.86,495.54,486.81,490.99,490.97,"2,615,800"
1997-11-06,490.99,491.59,475.44,478.91,478.89,"2,689,500"
1997-11-07,475.61,477.15,460.24,466.12,466.10,"4,629,000"
1997-11-10,466.11,466.11,458.48,462.69,462.67,"2,211,800"
1997-11-11,462.37,463.12,444.13,448.15,448.14,"2,532,400"
1997-11-12,448.17,452.67,444.17,449.64,449.62,"2,987,200"
1997-11-13,449.79,449.79,436.07,437.95,437.93,"4,166,900"
1997-11-14,438.24,440.73,433.76,436.84,436.83,"4,709,500"
1997-11-17,437.51,443.04,436.90,439.54,439.52,"2,989,200"
1997-11-18,439.63,442.54,431.66,434.21,434.19,"2,993,600"
1997-11-19,434.21,434.21,411.41,415.65,415.64,"3,638,900"
1997-11-20,415.74,415.74,392.94,396.13,396.11,"4,314,200"
1997-11-21,397.11,398.78,385.85,391.26,391.24,"3,592,800"
1997-11-24,391.64,410.21,391.64,410.21,410.19,"4,443,700"
1997-11-25,409.24,409.24,392.81,395.68,395.66,"3,674,000"
1997-11-26,395.91,398.54,393.77,398.54,398.52,"3,231,900"
1997-11-27,398.63,401.71,395.73,401.71,401.69,"4,527,000"
1997-12-01,401.30,402.12,396.14,398.62,398.60,"2,648,100"
1997-12-02,398.47,398.61,390.83,394.28,394.27,"12,638,800"
1997-12-03,393.41,393.41,384.65,389.68,389.67,"3,760,900"
1997-12-04,389.68,401.93,389.68,401.93,401.91,"2,945,100"
1997-12-05,402.08,414.78,402.08,414.78,414.76,"3,628,300"
1997-12-08,415.81,427.89,415.81,423.61,423.60,"3,916,700"
1997-12-09,424.14,425.84,416.63,425.50,425.48,"4,490,600"
1997-12-10,424.98,424.98,412.38,415.94,415.92,"2,587,100"
1997-12-11,415.50,415.50,393.19,396.11,396.09,"3,993,400"
1997-12-12,395.32,395.32,358.25,365.85,365.84,"6,498,400"
1997-12-15,365.42,365.42,335.69,339.54,339.52,"5,247,800"
1997-12-16,340.74,356.39,340.74,356.39,356.37,"5,076,900"
1997-12-17,360.20,374.11,360.20,368.68,368.67,"7,340,000"
1997-12-18,372.47,379.87,372.47,378.39,378.37,"4,813,900"
1997-12-19,377.96,381.66,372.05,378.80,378.78,"5,540,100"
1997-12-22,378.80,385.85,376.10,385.85,385.83,"3,799,400"
1997-12-23,385.67,397.03,385.67,397.03,397.02,"5,930,400"
1997-12-24,397.30,400.93,391.13,396.53,396.52,"4,491,400"
1997-12-29,396.79,401.92,394.91,398.01,398.00,"5,871,000"
1997-12-30,399.51,401.71,392.23,401.71,401.70,"7,159,800"
1998-01-02,402.10,410.01,400.75,410.01,410.00,"1,610,800"
1998-01-05,410.01,415.32,407.23,410.83,410.81,"2,589,500"
1998-01-06,409.82,409.82,397.86,402.27,402.25,"3,784,300"
1998-01-07,401.76,401.76,382.93,394.24,394.22,"3,521,700"
1998-01-08,393.91,393.91,321.08,347.11,347.09,"6,530,500"
1998-01-09,346.47,362.79,337.59,342.97,342.96,"6,766,600"
1998-01-12,342.97,353.79,342.97,350.24,350.22,"4,836,200"
1998-01-13,356.42,382.14,356.42,382.14,382.12,"6,035,700"
1998-01-14,382.93,403.98,382.93,403.98,403.97,"7,817,800"
1998-01-15,406.43,415.61,380.89,387.24,387.23,"9,675,100"
1998-01-16,388.67,413.92,385.22,413.92,413.90,"7,713,700"
1998-01-19,416.44,443.32,416.44,439.03,439.01,"7,850,300"
1998-01-20,437.49,448.04,425.52,448.04,448.02,"4,989,100"
1998-01-21,451.79,471.19,451.79,466.00,465.98,"6,386,100"
1998-01-22,467.23,468.70,436.84,443.53,443.51,"5,251,900"
1998-01-23,445.40,450.98,438.37,450.98,450.97,"3,623,400"
1998-01-26,456.30,477.11,456.30,473.69,473.67,"3,484,300"
1998-01-27,473.90,486.89,473.90,476.31,476.29,"3,964,400"
1998-01-28,476.45,485.94,462.84,485.94,485.92,"2,829,400"
1998-02-02,486.02,554.11,486.02,554.11,554.09,"8,130,000"
1998-02-03,555.25,570.05,527.02,536.79,536.77,"6,850,000"
1998-02-04,536.57,536.57,514.89,519.93,519.91,"7,597,300"
1998-02-05,519.93,520.70,503.20,513.49,513.47,"6,807,800"
1998-02-06,514.91,535.53,514.91,535.43,535.41,"10,096,200"
1998-02-09,536.04,544.22,523.98,529.25,529.23,"6,709,600"
1998-02-10,524.75,524.75,514.37,517.70,517.68,"9,818,300"
1998-02-11,517.29,519.62,476.99,487.61,487.59,"11,822,600"
1998-02-12,487.49,487.49,437.98,442.29,442.27,"6,069,500"
1998-02-13,445.80,457.03,442.18,448.16,448.14,"6,387,400"
1998-02-16,458.27,462.07,453.55,457.71,457.69,"4,737,500"
1998-02-17,459.39,472.21,459.39,472.21,472.19,"4,381,500"
1998-02-18,472.22,479.76,469.39,472.68,472.66,"4,793,700"
1998-02-19,473.25,500.61,473.25,496.25,496.23,"6,463,100"
1998-02-20,496.53,496.97,490.20,495.23,495.21,"5,945,100"
1998-02-23,494.82,507.10,494.82,505.04,505.02,"5,795,200"
1998-02-24,506.20,507.71,492.15,494.89,494.87,"5,003,300"
1998-02-25,495.07,495.07,481.20,483.41,483.39,"8,865,100"
1998-02-26,482.98,491.03,481.08,483.81,483.79,"5,887,900"
1998-02-27,484.12,484.13,475.37,482.38,482.36,"5,637,600"
1998-03-02,482.38,496.73,482.38,496.73,496.71,"4,505,200"
1998-03-03,505.19,518.69,505.19,518.69,518.67,"9,222,000"
1998-03-04,519.81,519.81,499.72,502.91,502.89,"4,839,300"
1998-03-05,502.86,516.49,492.29,516.49,516.47,"5,672,500"
1998-03-06,521.06,532.60,510.19,512.23,512.21,"4,218,200"
1998-03-09,521.08,521.08,492.64,495.81,495.79,"3,426,700"
1998-03-10,498.23,498.81,487.78,490.48,490.46,"3,481,200"
1998-03-11,491.41,492.66,482.68,491.87,491.85,"4,388,900"
1998-03-12,493.24,501.49,493.08,498.18,498.17,"4,808,700"
1998-03-13,499.88,506.73,499.88,506.73,506.71,"4,686,600"
1998-03-16,507.58,510.79,503.22,510.79,510.77,"3,958,000"
1998-03-17,511.09,513.10,507.46,512.14,512.12,"6,824,000"
1998-03-18,512.22,512.84,499.14,504.00,503.98,"6,262,200"
1998-03-19,503.30,504.18,499.56,504.15,504.13,"5,878,300"
1998-03-20,503.91,516.73,503.91,516.73,516.71,"6,829,000"
1998-03-23,516.92,526.48,511.18,516.32,516.30,"9,265,500"
1998-03-24,516.45,516.45,499.58,501.66,501.64,"5,234,500"
1998-03-25,501.66,504.10,493.01,504.10,504.08,"5,038,300"
1998-03-26,504.75,533.96,504.75,532.81,532.79,"10,898,900"
1998-03-27,533.57,550.27,533.57,542.10,542.08,"10,878,400"
