[2025-02-14 11:14:27] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 11:14:27] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] Berhasil memilih periode 1M.
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-14 11:14:53] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 325 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:53] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 345 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:54] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 365 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:54] [INFO] Scraping 1M (Default) selesai dalam 26.59 detik.
[2025-02-14 11:14:54] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (Default) selesai.
[2025-02-14 11:14:54] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 385 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:55] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 405 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:55] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 425 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:55] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor 445 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:55] [INFO] Scraping 1M (AUM) selesai, total data: 46
[2025-02-14 11:14:57] [INFO] Scraping 1M (AUM) selesai dalam 30.15 detik.
[2025-02-14 11:14:57] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-02-14 11:14:57] [INFO] Data Batavia Technology Sharia Equity USD berhasil diperbarui dan disimpan ke database\Batavia Technology Sharia Equity USD.csv dan database\Batavia Technology Sharia Equity USD.json
[2025-02-14 11:14:57] [INFO] Scraping Batavia Technology Sharia Equity USD selesai dalam 30.16 detik.
[2025-02-14 11:14:57] [INFO] ===== Semua scraping selesai dalam 30.16 detik =====
