[2025-02-05 16:56:08] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-05 16:56:08] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 1Y (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 3M.
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 1Y.
[2025-02-05 16:56:33] [INFO] Scraping 1Y (Default) selesai dalam 25.37 detik.
[2025-02-05 16:56:33] [INFO] Memulai scraping 1Y (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:33] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 3M (Default) selesai.
[2025-02-05 16:56:33] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1Y (Default) selesai.
[2025-02-05 16:56:33] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 405 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:34] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 425 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:34] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor 445 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:34] [INFO] Scraping 3M (AUM) selesai, total data: 46
[2025-02-05 16:56:36] [INFO] Scraping 3M (AUM) selesai dalam 28.29 detik.
[2025-02-05 16:56:36] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 3M (AUM) selesai.
[2025-02-05 16:56:37] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:37] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-05 16:56:40] [INFO] Berhasil memilih periode 1Y.
[2025-02-05 16:56:42] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -455 | Tanggal: 1 Des 24 | Data: $95.93M
[2025-02-05 16:56:43] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -435 | Tanggal: 1 Des 23 | Data: $32.50M
[2025-02-05 16:56:43] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -415 | Tanggal: 1 Jan 24 | Data: $25.07M
[2025-02-05 16:56:43] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -395 | Tanggal: 1 Jan 24 | Data: $25.07M
[2025-02-05 16:56:44] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -375 | Tanggal: 1 Jan 24 | Data: $25.07M
[2025-02-05 16:56:44] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -355 | Tanggal: 1 Feb 24 | Data: $31.75M
[2025-02-05 16:56:45] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -335 | Tanggal: 1 Feb 24 | Data: $31.75M
[2025-02-05 16:56:45] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -315 | Tanggal: 1 Feb 24 | Data: $31.75M
[2025-02-05 16:56:45] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -295 | Tanggal: 1 Feb 24 | Data: $31.75M
[2025-02-05 16:56:46] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -275 | Tanggal: 1 Mar 24 | Data: $63.29M
[2025-02-05 16:56:46] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -255 | Tanggal: 1 Mar 24 | Data: $63.29M
[2025-02-05 16:56:47] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -235 | Tanggal: 1 Mar 24 | Data: $63.29M
[2025-02-05 16:56:47] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -215 | Tanggal: 1 Apr 24 | Data: $71.34M
[2025-02-05 16:56:47] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -195 | Tanggal: 1 Apr 24 | Data: $71.34M
[2025-02-05 16:56:48] [DEBUG] [DEBUG] Mode AUM | Periode 1Y | Kursor -175 | Tanggal: 1 Apr 24 | Data: $71.34M
